Company Name,ISIN,Industry,Total score (max. 16),1a,1b,1c,1d,JT1,2a,2b,2c,2d,JT2,3a,3b,3c,3d,JT3,4a,4b,4c,4d,JT4,5a,5b,5c,5d,JT5,6a,6b,6c,6d,JT6
Daimler,DE0007100000,Automotive,6.5,1,0,1,0,2,0,1,0,0,1,0.5,0,0.5,0.5,1.5,0.5,0,0.5,0.5,1.5,0,0.5,0,0,0.5,0,0,0,0,0
Devon Energy Corp,US25179M1036,Oil and Gas,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Dominion Energy,US25746U1097,Electric Utilities,2.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,1.5,0.5,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0
Dongfeng Motor Group,CNE100000312,Automotive,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0
Duke Energy,US26441C2044,Electric Utilities,4.5,0,0,1,0,1,0,0,0,0,0,0.5,0.5,0.5,0.5,2,0,0,0.5,0.5,1,0,0,0,0,0,0.5,0,0,0,0.5
E.ON,DE000ENAG999,Electric Utilities,5.5,1,1,1,0,3,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0.5,0.5,1.5,0,0,0,0,0,0,0,0,0.5,0.5
Ecopetrol,COC04PA00016,Oil and Gas,3.5,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0,0.5,0.5,1.5,0,0,0,0,0,0,0,0,0,0
EDP Energias de Portugal,PTEDP0AM0009,Electric Utilities,7.5,1,0,0,0,1,0,0,1,1,2,0.5,0.5,0.5,0.5,2,0.5,0,0.5,0.5,1.5,0,0,0.5,0.5,1,0,0,0,0,0
Egyptian Electricity Holding Company (EEHC),0,Electric Utilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egyptian General Petroleum Corporation (EGPC),0,Oil and Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
