Company Name,ISIN,Industry,Total score (max. 16),1a,1b,1c,1d,JT1,2a,2b,2c,2d,JT2,3a,3b,3c,3d,JT3,4a,4b,4c,4d,JT4,5a,5b,5c,5d,JT5,6a,6b,6c,6d,JT6
Royal Dutch Shell,GB00B03MLX29,Oil and Gas,7,0,1,1,0,2,0,0,0,0,0,0.5,0,0.5,0.5,1.5,0.5,0,0.5,0.5,1.5,0.5,0.5,0,0,1,0.5,0,0.5,0,1
RWE,DE0007037129,Electric Utilities,10.5,1,1,1,1,4,1,0,1,0,2,0.5,0.5,0.5,0.5,2,0.5,0,0.5,0.5,1.5,0,0,0,0.5,0.5,0.5,0,0,0,0.5
SAIC Motor,CNE000000TY6,Automotive,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0
Santos,AU000000STO6,Oil and Gas,2.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,1.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Saras,IT0000433307,Oil and Gas,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Sasol,ZAE000006896,Oil and Gas,7,1,1,0,0,2,1,0,0,0,1,0.5,0,0.5,0.5,1.5,0.5,0,0.5,0.5,1.5,0,0,0,0.5,0.5,0.5,0,0,0,0.5
Saudi Aramco (SABIC),SA14TG012N13,Oil and Gas,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Saudi Electricity Company (SEC),SA0007879550,Electric Utilities,4.5,0,0,0,0,0,0,0,1,1,2,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0.5,0.5,0,0,0,0,0
Shaanxi Yanchang Petroleum Group ,CNE000001329,Oil and Gas,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Sinochem Energy,0,Oil and Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Innovation,KR7096770003,Oil and Gas,3,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Sonangol,0,Oil and Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonatrach,0,Oil and Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern Company,US8425871071,Electric Utilities,5,0,1,0,0,1,1,0,0,0,1,0,0,0.5,0.5,1,0.5,0,0.5,0.5,1.5,0,0,0,0,0,0.5,0,0,0,0.5
SSE,GB0007908733,Electric Utilities,14,1,1,1,1,4,1,1,1,1,4,0.5,0.5,0.5,0.5,2,0.5,0,0.5,0.5,1.5,0.5,0.5,0,0.5,1.5,0.5,0,0.5,0,1
State Oil Company of Azerbaijan Republic (SOCAR),0,Oil and Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Power Investment Corporation (SPIC),0,Electric Utilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru,JP3814800003,Automotive,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,1,0,0,0,0.5,0.5,0,0,0,0,0
Suncor Energy,CA8672241079,Oil and Gas,3,0,1,0,0,1,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Surgutneftegas,RU0008926258,Oil and Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzuki,JP3397200001,Automotive,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0
Taiwan Power Company,TW0009963009,Electric Utilities,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Targa Resources,US87612G1013,Oil and Gas,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Tata Motors,INE155A01022,Automotive,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0,0.5,0.5,1.5,0,0,0,0,0,0,0,0,0,0
Tatneft,0,Oil and Gas,3,1,0,1,0,2,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
Tenaga Nasional,MYL5347OO009,Electric Utilities,3.5,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0,0.5,0.5,1.5,0,0,0,0,0,0,0,0,0,0
Tesla,US88160R1014,Automotive,4.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,2,0.5,0,0.5,0.5,1.5,0,0,0.5,0.5,1,0,0,0,0,0
Tohoku Electric Power,JP3605400005,Electric Utilities,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0
Tokyo Electric Power Company (TEPCO),JP3585800000,Electric Utilities,1.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,1,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
Total,FR0000120271,Oil and Gas,5.5,1,0,1,0,2,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0,0.5,0.5,1.5,0.5,0,0,0,0.5,0.5,0,0,0,0.5
Toyota Motor Corporation,JP3633400001,Automotive,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Türkiye Petrol Rafinerileri ,TRATUPRS91E8,Oil and Gas,2.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
TurkmenGaz,0,Oil and Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ultrapar,BRUGPAACNOR8,Oil and Gas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
Valero Energy,US91913Y1001,Oil and Gas,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Varo Energy,0,Oil and Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vattenfall,0,Electric Utilities,4,0,0,1,0,1,0,0,0,0,0,0.5,0,0.5,0.5,1.5,0,0,0.5,0.5,1,0,0,0,0.5,0.5,0,0,0,0,0
Vistra Energy Corp,US92840M1027,Electric Utilities,4.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,1.5,0.5,0,0.5,0.5,1.5,0,0,0.5,0.5,1,0.5,0,0,0,0.5
Viva Energy Group,AU0000016875,Oil and Gas,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volkswagen AG,DE0007664039,Automotive,5.5,1,0,0,0,1,1,0,0,0,1,0.5,0.5,0.5,0.5,2,0.5,0,0.5,0.5,1.5,0,0,0,0,0,0,0,0,0,0
Woodside Petroleum,AU000000WPL2,Oil and Gas,4,0,0,1,0,1,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0,0.5,0.5,1.5,0,0,0,0,0,0.5,0,0,0,0.5
Xcel Energy ,US98389B1008,Electric Utilities,7,1,1,0,1,3,1,0,0,0,1,0.5,0,0.5,0.5,1.5,0.5,0,0.5,0.5,1.5,0,0,0,0,0,0,0,0,0,0
YPF,ARP9897X1319,Oil and Gas,2.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,1.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Zhejiang Geely Holding Group (Volvo Cars) ,0,Automotive,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0
