"link","name","totalscr","govandstrat","ecoandbio","socialincl"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/salvatore-ferragamo-2","Ferragamo","19.8","40.0","13.0","22.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/bristol-myers-squibb","Bristol Myers Squibb","19.6","40.0","16.5","16.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/nippon-steel-corporation-2","Nippon Steel Corporation","19.6","18.7","25.6","10.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/takeda","Takeda","19.6","17.5","22.2","16.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/maaden","Ma'aden","19.4","45.0","14.1","17.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/page-industries-2","Page Industries","19.3","43.7","21.5","6.0"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/eli-lilly-and-company","Eli Lilly and Company","19.1","25.0","24.1","8.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/international-paper","International Paper","19.1","50.0","11.1","19.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/westrock","WestRock","18.9","30.0","18.5","14.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/jfe-holdings","JFE Holdings","18.8","23.7","10.6","29.8"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/sabic","SABIC","18.8","46.2","15.3","13.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/toyo-seikan","Toyo Seikan","18.7","25.0","11.9","26.8"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/votorantim-cimentos","Votorantim Cimentos","18.6","27.5","18.7","14.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/african-rainbow-minerals","African Rainbow Minerals","18.5","33.7","17.8","13.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/goodyear-tire-rubber","Goodyear Tire & Rubber","18.5","40.0","9.5","24.1"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/umicore","Umicore","18.5","45.0","11.1","19.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/antofagasta","Antofagasta","18.4","28.7","8.1","30.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/american-eagle-outfitters-3","American Eagle Outfitters","18.3","23.7","18.1","16.4"
